episode,score,epsilon
1,-2786.5,0.995
2,-1206.0,0.990025
3,-1974.0,0.985074875
4,-1846.5,0.9801495006250001
5,-1719.5,0.9752487531218751
6,-1587.5,0.9703725093562657
7,-1954.0,0.9655206468094844
8,-1359.0,0.960693043575437
9,-3241.5,0.9558895783575597
10,-2736.0,0.9511101304657719
11,-1029.5,0.946354579813443
12,-3215.5,0.9416228069143757
13,-2974.5,0.9369146928798039
14,-1879.0,0.9322301194154049
15,-1072.0,0.9275689688183278
16,-1586.0,0.9229311239742362
17,-665.0,0.918316468354365
18,-1841.0,0.9137248860125932
19,-2022.0,0.9091562615825302
20,-1513.0,0.9046104802746175
21,-347.5,0.9000874278732445
22,-1078.5,0.8955869907338783
23,-780.0,0.8911090557802088
24,-1551.5,0.8866535105013078
25,-472.0,0.8822202429488013
26,-2143.0,0.8778091417340573
27,-1336.0,0.8734200960253871
28,-1652.5,0.8690529955452602
29,-1352.5,0.8647077305675338
30,-1031.5,0.8603841919146962
31,-1016.5,0.8560822709551227
32,-751.0,0.851801859600347
33,-1127.0,0.8475428503023453
34,-971.5,0.8433051360508336
35,-1579.0,0.8390886103705794
36,-774.5,0.8348931673187264
37,-963.0,0.8307187014821328
38,-671.0,0.8265651079747222
39,-1330.5,0.8224322824348486
40,-750.0,0.8183201210226743
41,-754.5,0.8142285204175609
42,-600.5,0.810157377815473
43,-728.0,0.8061065909263957
44,-1280.0,0.8020760579717637
45,-1000.5,0.798065677681905
46,-1109.0,0.7940753492934954
47,-837.5,0.7901049725470279
48,-1067.5,0.7861544476842928
49,-401.5,0.7822236754458713
50,-608.0,0.778312557068642
51,-896.5,0.7744209942832988
52,-925.5,0.7705488893118823
53,-992.5,0.7666961448653229
54,-1494.5,0.7628626641409962
55,-598.0,0.7590483508202912
56,-294.0,0.7552531090661897
57,-534.5,0.7514768435208588
58,-119.0,0.7477194593032545
59,-1248.5,0.7439808620067382
60,-908.5,0.7402609576967045
61,-1240.5,0.736559652908221
62,-1009.0,0.7328768546436799
63,-1040.5,0.7292124703704616
64,-636.5,0.7255664080186093
65,-1102.5,0.7219385759785162
66,-707.5,0.7183288830986236
67,-715.5,0.7147372386831305
68,-1167.5,0.7111635524897149
69,-396.5,0.7076077347272662
70,-515.0,0.7040696960536299
71,-972.0,0.7005493475733617
72,-678.5,0.697046600835495
73,-439.0,0.6935613678313175
74,-936.5,0.6900935609921609
75,-635.0,0.6866430931872001
76,-755.0,0.6832098777212641
77,-1250.0,0.6797938283326578
78,-414.5,0.6763948591909945
79,-992.5,0.6730128848950395
80,-772.0,0.6696478204705644
81,-669.0,0.6662995813682115
82,-856.5,0.6629680834613705
83,-579.0,0.6596532430440636
84,-577.0,0.6563549768288433
85,-522.5,0.653073201944699
86,-833.5,0.6498078359349755
87,-686.0,0.6465587967553006
88,-919.5,0.6433260027715241
89,-1015.0,0.6401093727576664
90,-744.5,0.6369088258938781
91,-737.0,0.6337242817644086
92,-555.5,0.6305556603555866
93,-763.0,0.6274028820538087
94,-623.0,0.6242658676435396
95,-761.0,0.6211445383053219
96,-599.5,0.6180388156137953
97,-1276.5,0.6149486215357263
98,-901.5,0.6118738784280476
99,-482.5,0.6088145090359074
100,-593.5,0.6057704364907278
101,-916.5,0.6027415843082742
102,-549.5,0.5997278763867329
103,-588.0,0.5967292370047992
104,-945.5,0.5937455908197752
105,-1022.0,0.5907768628656763
106,-392.5,0.5878229785513479
107,-984.5,0.5848838636585911
108,-702.5,0.5819594443402982
109,-829.5,0.5790496471185967
110,-355.0,0.5761543988830038
111,-615.5,0.5732736268885887
112,-1247.0,0.5704072587541458
113,-433.0,0.567555222460375
