episode,score,epsilon
1,-4298.0,0.995
2,-2407.0,0.990025
3,-5186.0,0.985074875
4,-1139.0,0.9801495006250001
5,-5651.5,0.9752487531218751
6,-1195.0,0.9703725093562657
7,-3109.0,0.9655206468094844
8,-3884.0,0.960693043575437
9,-411.5,0.9558895783575597
10,-286.5,0.9511101304657719
11,-2502.0,0.946354579813443
12,-6424.5,0.9416228069143757
13,-542.5,0.9369146928798039
14,-2744.0,0.9322301194154049
15,-4307.0,0.9275689688183278
16,-1749.5,0.9229311239742362
17,-510.5,0.918316468354365
18,-1212.0,0.9137248860125932
19,-1271.5,0.9091562615825302
20,-4288.0,0.9046104802746175
21,-747.0,0.9000874278732445
22,-1147.0,0.8955869907338783
23,-1812.0,0.8911090557802088
24,-997.5,0.8866535105013078
25,-1188.5,0.8822202429488013
26,-469.5,0.8778091417340573
27,-1019.0,0.8734200960253871
28,-1366.0,0.8690529955452602
29,-3062.5,0.8647077305675338
30,-446.5,0.8603841919146962
31,-408.5,0.8560822709551227
32,-427.0,0.851801859600347
33,-339.5,0.8475428503023453
34,-1208.5,0.8433051360508336
35,-1073.5,0.8390886103705794
36,-5000.5,0.8348931673187264
37,-692.5,0.8307187014821328
38,-572.0,0.8265651079747222
39,-287.5,0.8224322824348486
40,-644.5,0.8183201210226743
41,-579.5,0.8142285204175609
42,-1212.0,0.810157377815473
43,-200.5,0.8061065909263957
44,-1208.5,0.8020760579717637
45,-344.0,0.798065677681905
46,-418.5,0.7940753492934954
47,-270.0,0.7901049725470279
48,-92.0,0.7861544476842928
49,-943.5,0.7822236754458713
50,-621.0,0.778312557068642
51,-1549.5,0.7744209942832988
52,-695.5,0.7705488893118823
53,-1098.0,0.7666961448653229
54,-70.0,0.7628626641409962
55,-481.0,0.7590483508202912
56,-338.0,0.7552531090661897
57,-245.5,0.7514768435208588
58,-479.0,0.7477194593032545
59,-71.0,0.7439808620067382
60,-127.5,0.7402609576967045
61,-667.5,0.736559652908221
62,-641.0,0.7328768546436799
63,-415.5,0.7292124703704616
64,-213.0,0.7255664080186093
65,-35.0,0.7219385759785162
66,-346.0,0.7183288830986236
67,-326.5,0.7147372386831305
68,-412.0,0.7111635524897149
69,-945.0,0.7076077347272662
70,-263.5,0.7040696960536299
71,-67.5,0.7005493475733617
72,-505.0,0.697046600835495
73,-476.5,0.6935613678313175
74,-169.5,0.6900935609921609
75,-334.0,0.6866430931872001
76,-220.0,0.6832098777212641
